,Date,Symbols,High,Low,Open,Close,Volume,Adj Close,Company_name
236,2015-06-19,brk-a,214800,211900,213541,212200,200,212200,Berkshire Hathaway Inc.
237,2015-06-22,brk-a,214200,212000,213680,212580,200,212580,Berkshire Hathaway Inc.
238,2015-06-23,brk-a,213300,211670,212858,211900,100,211900,Berkshire Hathaway Inc.
239,2015-06-24,brk-a,212181,210390,211740,210500,200,210500,Berkshire Hathaway Inc.
240,2015-06-25,brk-a,211120,209600,210500,209600,200,209600,Berkshire Hathaway Inc.
241,2015-06-26,brk-a,210460,209025,210000,209900,200,209900,Berkshire Hathaway Inc.
242,2015-06-29,brk-a,208620,205000,208620,205000,400,205000,Berkshire Hathaway Inc.
243,2015-06-30,brk-a,206960,204800,206640,204850,400,204850,Berkshire Hathaway Inc.
244,2015-07-01,brk-a,207660,205460,206740,206365,500,206365,Berkshire Hathaway Inc.
245,2015-07-02,brk-a,207028,205923,206900,205923,600,205923,Berkshire Hathaway Inc.
246,2015-07-06,brk-a,206280,204640,204880,205500,200,205500,Berkshire Hathaway Inc.
247,2015-07-07,brk-a,208150,204340,205845,208150,500,208150,Berkshire Hathaway Inc.
248,2015-07-08,brk-a,207040,205540,206100,206186,500,206186,Berkshire Hathaway Inc.
249,2015-07-09,brk-a,208500,207300,207800,207740,200,207740,Berkshire Hathaway Inc.
250,2015-07-10,brk-a,210500,208760,209600,209800,200,209800,Berkshire Hathaway Inc.
251,2015-07-13,brk-a,212240,211040,211040,211720,200,211720,Berkshire Hathaway Inc.
252,2015-07-14,brk-a,212525,211425,211700,211767,100,211767,Berkshire Hathaway Inc.
253,2015-07-15,brk-a,213996,212020,212500,213800,100,213800,Berkshire Hathaway Inc.
254,2015-07-16,brk-a,215950,214445,214505,215950,200,215950,Berkshire Hathaway Inc.
255,2015-07-17,brk-a,216001,215500,215820,215960,200,215960,Berkshire Hathaway Inc.
256,2015-07-20,brk-a,217100,215840,215840,216480,300,216480,Berkshire Hathaway Inc.
257,2015-07-21,brk-a,216975,214865,216960,215796,200,215796,Berkshire Hathaway Inc.
258,2015-07-22,brk-a,215800,214680,215500,215380,100,215380,Berkshire Hathaway Inc.
259,2015-07-23,brk-a,214960,213183,214705,213520,100,213520,Berkshire Hathaway Inc.
260,2015-07-24,brk-a,213430,211825,213300,212032,200,212032,Berkshire Hathaway Inc.
261,2015-07-27,brk-a,212000,210705,211800,210725,200,210725,Berkshire Hathaway Inc.
262,2015-07-28,brk-a,215340,211702,211702,215091,300,215091,Berkshire Hathaway Inc.
263,2015-07-29,brk-a,215466,214000,215091,214320,100,214320,Berkshire Hathaway Inc.
264,2015-07-30,brk-a,214745,213261,214380,214745,100,214745,Berkshire Hathaway Inc.
265,2015-07-31,brk-a,215600,214000,215200,214000,200,214000,Berkshire Hathaway Inc.
266,2015-08-03,brk-a,214450,211520,214400,213500,200,213500,Berkshire Hathaway Inc.
267,2015-08-04,brk-a,214635,213105,213105,214150,100,214150,Berkshire Hathaway Inc.
268,2015-08-05,brk-a,216000,214820,214820,215201,200,215201,Berkshire Hathaway Inc.
269,2015-08-06,brk-a,215681,214572,215280,215650,200,215650,Berkshire Hathaway Inc.
270,2015-08-07,brk-a,215505,213760,214725,215463,100,215463,Berkshire Hathaway Inc.
271,2015-08-10,brk-a,215300,212010,213000,215300,400,215300,Berkshire Hathaway Inc.
272,2015-08-11,brk-a,214785,212780,213405,214500,300,214500,Berkshire Hathaway Inc.
273,2015-08-12,brk-a,213000,210994,212850,213000,300,213000,Berkshire Hathaway Inc.
274,2015-08-13,brk-a,214056,211910,212740,213185,200,213185,Berkshire Hathaway Inc.
275,2015-08-14,brk-a,214238,213380,213399,213981,100,213981,Berkshire Hathaway Inc.
276,2015-08-17,brk-a,213700,212240,213700,213300,100,213300,Berkshire Hathaway Inc.
277,2015-08-18,brk-a,213460,211640,213300,212100,100,212100,Berkshire Hathaway Inc.
278,2015-08-19,brk-a,212450,209800,211660,210660,200,210660,Berkshire Hathaway Inc.
279,2015-08-20,brk-a,209560,207740,209560,207862,300,207862,Berkshire Hathaway Inc.
280,2015-08-21,brk-a,206820,202080,206820,202500,1100,202500,Berkshire Hathaway Inc.
281,2015-08-24,brk-a,201420,190007,193420,196005,1200,196005,Berkshire Hathaway Inc.
282,2015-08-25,brk-a,201898,193000,201190,194200,600,194200,Berkshire Hathaway Inc.
283,2015-08-26,brk-a,200590,194700,198224,200500,700,200500,Berkshire Hathaway Inc.
284,2015-08-27,brk-a,205780,201410,203100,204940,300,204940,Berkshire Hathaway Inc.
285,2015-08-28,brk-a,205344,203465,205000,205344,200,205344,Berkshire Hathaway Inc.
286,2015-08-31,brk-a,204300,201615,204300,202531,200,202531,Berkshire Hathaway Inc.
287,2015-09-01,brk-a,199995,196626,199995,198144,500,198144,Berkshire Hathaway Inc.
288,2015-09-02,brk-a,199800,198020,199800,199360,300,199360,Berkshire Hathaway Inc.
289,2015-09-03,brk-a,201980,199300,200225,199665,300,199665,Berkshire Hathaway Inc.
290,2015-09-04,brk-a,197799,195000,197799,196501,300,196501,Berkshire Hathaway Inc.
291,2015-09-08,brk-a,201100,198360,199071,200600,700,200600,Berkshire Hathaway Inc.
292,2015-09-09,brk-a,202700,196801,202250,196875,300,196875,Berkshire Hathaway Inc.
293,2015-09-10,brk-a,198985,196800,196900,197639,300,197639,Berkshire Hathaway Inc.
